va,size,class,reason
0x1001DD70,5,jump_stub,single jmp; incremental-link / tail stub; reproduced at link
0x10059F00,5,jump_stub,single jmp; incremental-link / tail stub; reproduced at link
0x1006A320,5,jump_stub,single jmp; incremental-link / tail stub; reproduced at link
0x10072960,6,import_thunk,linker jmp[IAT] import stub; reproduced at link
0x10072966,6,import_thunk,linker jmp[IAT] import stub; reproduced at link
0x10072972,6,import_thunk,linker jmp[IAT] import stub; reproduced at link
0x10072978,6,import_thunk,linker jmp[IAT] import stub; reproduced at link
0x1007297E,6,import_thunk,linker jmp[IAT] import stub; reproduced at link
0x10072984,6,import_thunk,linker jmp[IAT] import stub; reproduced at link
0x1007298A,6,import_thunk,linker jmp[IAT] import stub; reproduced at link
0x10072990,6,import_thunk,linker jmp[IAT] import stub; reproduced at link
0x1007299C,6,import_thunk,linker jmp[IAT] import stub; reproduced at link
0x100729A2,6,import_thunk,linker jmp[IAT] import stub; reproduced at link
0x100729A8,6,import_thunk,linker jmp[IAT] import stub; reproduced at link
0x100729AE,6,import_thunk,linker jmp[IAT] import stub; reproduced at link
0x100729B4,6,import_thunk,linker jmp[IAT] import stub; reproduced at link
0x100729BA,6,import_thunk,linker jmp[IAT] import stub; reproduced at link
0x100729C0,6,import_thunk,linker jmp[IAT] import stub; reproduced at link
0x100729C6,6,import_thunk,linker jmp[IAT] import stub; reproduced at link
0x100729CC,6,import_thunk,linker jmp[IAT] import stub; reproduced at link
0x100729D8,6,import_thunk,linker jmp[IAT] import stub; reproduced at link
0x100729DE,6,import_thunk,linker jmp[IAT] import stub; reproduced at link
0x100729E4,6,import_thunk,linker jmp[IAT] import stub; reproduced at link
0x100729F0,6,import_thunk,linker jmp[IAT] import stub; reproduced at link
0x10072A02,6,import_thunk,linker jmp[IAT] import stub; reproduced at link
0x10072A08,6,import_thunk,linker jmp[IAT] import stub; reproduced at link
0x10072A0E,6,import_thunk,linker jmp[IAT] import stub; reproduced at link
0x10072A14,6,import_thunk,linker jmp[IAT] import stub; reproduced at link
0x10072A1A,6,import_thunk,linker jmp[IAT] import stub; reproduced at link
0x10072A20,6,import_thunk,linker jmp[IAT] import stub; reproduced at link
0x10072A26,6,import_thunk,linker jmp[IAT] import stub; reproduced at link
0x10072A2C,6,import_thunk,linker jmp[IAT] import stub; reproduced at link
0x10072A32,6,import_thunk,linker jmp[IAT] import stub; reproduced at link
0x10072A38,6,import_thunk,linker jmp[IAT] import stub; reproduced at link
0x10072A3E,6,import_thunk,linker jmp[IAT] import stub; reproduced at link
0x10072A44,6,import_thunk,linker jmp[IAT] import stub; reproduced at link
0x10073784,3,eh_data,"EH table bytes misparsed as code (retf/iret); data, not code"
0x10073789,3,eh_data,"EH table bytes misparsed as code (retf/iret); data, not code"
0x10073794,1,eh_data,"EH table bytes misparsed as code (retf/iret); data, not code"
0x10073799,1,eh_data,"EH table bytes misparsed as code (retf/iret); data, not code"
0x100737D4,1,eh_data,"EH table bytes misparsed as code (retf/iret); data, not code"
0x100737D9,1,eh_data,"EH table bytes misparsed as code (retf/iret); data, not code"
0x10073AF8,6,import_thunk,linker jmp[IAT] import stub; reproduced at link
0x10074558,6,import_thunk,linker jmp[IAT] import stub; reproduced at link
0x10074566,6,import_thunk,linker jmp[IAT] import stub; reproduced at link
0x1007456C,6,import_thunk,linker jmp[IAT] import stub; reproduced at link
0x10074600,6,import_thunk,linker jmp[IAT] import stub; reproduced at link
0x10074606,6,import_thunk,linker jmp[IAT] import stub; reproduced at link
0x100746B4,6,import_thunk,linker jmp[IAT] import stub; reproduced at link
0x10074AF2,6,import_thunk,linker jmp[IAT] import stub; reproduced at link
0x10074B30,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10074B3B,10,eh_dispatch,C++ EH catch dispatch stub; emitted by parent TU
0x10074B50,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10074B5B,10,eh_dispatch,C++ EH catch dispatch stub; emitted by parent TU
0x10074B7B,10,eh_dispatch,C++ EH catch dispatch stub; emitted by parent TU
0x10074B90,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10074B9B,10,eh_dispatch,C++ EH catch dispatch stub; emitted by parent TU
0x10074BB0,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10074BBB,10,eh_dispatch,C++ EH catch dispatch stub; emitted by parent TU
0x10074BD0,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10074BDB,10,eh_dispatch,C++ EH catch dispatch stub; emitted by parent TU
0x10074BF0,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10074BFB,10,eh_dispatch,C++ EH catch dispatch stub; emitted by parent TU
0x10074C10,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10074C1B,10,eh_dispatch,C++ EH catch dispatch stub; emitted by parent TU
0x10074C30,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10074C3B,10,eh_dispatch,C++ EH catch dispatch stub; emitted by parent TU
0x10074C50,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10074C5B,10,eh_dispatch,C++ EH catch dispatch stub; emitted by parent TU
0x10074C70,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10074C7B,10,eh_dispatch,C++ EH catch dispatch stub; emitted by parent TU
0x10074C90,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10074C9B,10,eh_dispatch,C++ EH catch dispatch stub; emitted by parent TU
0x10074CB0,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10074CBB,10,eh_dispatch,C++ EH catch dispatch stub; emitted by parent TU
0x10074CD0,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10074CDB,10,eh_dispatch,C++ EH catch dispatch stub; emitted by parent TU
0x10074CF0,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10074CFB,10,eh_dispatch,C++ EH catch dispatch stub; emitted by parent TU
0x10074D10,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10074D1B,10,eh_dispatch,C++ EH catch dispatch stub; emitted by parent TU
0x10074D30,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10074D3B,10,eh_dispatch,C++ EH catch dispatch stub; emitted by parent TU
0x10074D50,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10074D5B,10,eh_dispatch,C++ EH catch dispatch stub; emitted by parent TU
0x10074D70,11,eh_funclet,C++ EH catch/cleanup funclet; emitted by parent TU try/catch
0x10074D7B,10,eh_dispatch,C++ EH catch dispatch stub; emitted by parent TU
